Country,CODE,WB_Income-2023 data,When collected,Status,Source,Tool,More info,Internal notes
Tonga,TON,Upper middle income,2022,Completed,Equality Insights,IWISE-4,"https://equalityinsights.org/resources/eir-report-tonga-survey-2022/#:~:text=The%20Equality%20Insights%20Rapid%20study,Equality%20Insights%20Rapid%20data%20collection",should this URL not be clickable?
USA,USA,High income,2022,Completed,Gallup World Poll,IWISE-12,https://doi.org/10.21985/n2-avk4-9932,
Argentina,ARG,Upper middle income,2023,Completed,Argentine Social Debt Survey,HWISE-12,https://www.preprints.org/frontend/manuscript/92c64217115e20d48040c2589ad602ec/download_pub,
Mexico,MEX,Upper middle income,2023,Completed,Encuesta Nacional de Salud y Nutricion/INSP,HWISE-12,https://doi.org/10.21149/15853,
Fiji,FJI,Upper middle income,2024,Completed,World Bank high frequency survey for the Pacific (monthly cell phones surveys),HWISE-12,https://www.worldbank.org/en/country/pacificislands/brief/the-pacific-observatory,"mailto: sfitzgerald1@worldbank.org was in the field, can't mix links and emails"
Mexico,MEX,Upper middle income,2024,Completed,Encuesta Nacional de Salud y Nutricion/INSP,HWISE-12,https://ensanut.insp.mx/,
Afghanistan,AFG,Low income,2025,Planned,Multi-Sectoral Needs Assessment led by IMPACT/REACH; https://www.impact-initiatives.org/what-we-do/reach/,HWISE-4,mailto:ekruger@unicef.org,Representative at the provincial level
Argentina,ARG,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,"the correct email has an underscore in it, not wisescales@northwestern.edu. Changed throughout the document"
Bolivia,BOL,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Botswana,BWA,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Cambodia,KHM,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Canada,CAN,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Chad,TCD,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Chile,CHL,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Colombia,COL,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Comoros,COM,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
"Congo, DRC",COD,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Cuba,CUB,Upper middle income,2025,Planned,World Food Program,HWISE-4,mailto:yarisuf@gmail.com,
Dominican Republic,DOM,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
El Salvador,SLV,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Gambia,GMB,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Greece,GRC,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Iraq,IRQ,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Israel,ISR,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Jamaica,JAM,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Lao PDR,LAO,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Lebanon  ,LBN,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Liberia,LBR,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Libya,LBY,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Malawi,MWI,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Mauritania,MRT,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Mozambique,MOZ,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Myanmar,MMR,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Niger,NER,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Pakistan,PAK,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Palestinian Territories,PSE,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,"There are obviously a lot of politics here but let's be consistent with nomenclature since the same areas are being surveyed: ""Palestinian territories"". Also, note the income level of the country changed between 2022 to 2025"
Panama,PAN,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Philippines,PHL,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Russian Federation,RUS,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Saudi Arabia,SAU,High income,2025,Completed,Gallup World Poll,IWISE-4,mailto:WISE_scales@northwestern.edu,
Sierra Leone,SLE,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Somalia,SOM,Low income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Sri Lanka,LKA,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Sri Lanka,LKA,Lower middle income,2025,Completed,BRIGHT Study,HWISE-12,https://cgspace.cgiar.org/server/api/core/bitstreams/ed7c1e23-b4de-49d6-a040-fa0b4d20cdff/content,
Ukraine,UKR,Upper middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
United Kingdom,GBR,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Uruguay,URY,High income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Venezuela,VEN,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
Vietnam,VNM,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,
West Bank and Gaza,PSE,Lower middle income,2025,Completed,Gallup World Poll,IWISE-12,mailto:WISE_scales@northwestern.edu,"There are obviously a lot of politics here but let's be consistent with nomenclature since the same areas are being surveyed: ""Palestinian territories"" "
Haiti,HTI,Lower middle income,2025,Planned,Multi-Sectoral Needs Assessment led by IMPACT/REACH; https://www.impact-initiatives.org/what-we-do/reach/,HWISE-4,mailto:ekruger@unicef.org,8 Admin 1 + Zone Métropolitaine de Port-au-Prince
Ukraine,UKR,Upper middle income,2025,Completed,Multi-Sectoral Needs Assessment led by IMPACT/REACH; https://www.impact-initiatives.org/what-we-do/reach/,HWISE-4,mailto:ekruger@unicef.org,"Representative at admin 1 level, and admin 2 for frontline areas"
Myanmar,MMR,Lower middle income,2025,Planned,Multi-Sectoral Needs Assessment led by IMPACT/REACH; https://www.impact-initiatives.org/what-we-do/reach/,HWISE-4,mailto:ekruger@unicef.org,Representative at admin 2 level
Sao Tome and Principe,STP,Lower middle income,,Completed,UNICEF 2025,HWISE-4,mailto:tiampalermo@policyresearchsolutions.com,
